text,union_name,f_num,desig_num,count
INTERNATIONAL UNION OF OPERATING ENGINEERS 513,"ENGINEERS, OPERATING, AFL-CIO",39895,513,465
IUOE - 399,"ENGINEERS, OPERATING, AFL-CIO",28035,399,463
IAM - DISTRICT 9,MACHINISTS AFL-CIO,38242,9,457
SEIU/UHWE-1199,SERVICE EMPLOYEES,31847,,456
IBT-710,TEAMSTERS,28039,710,455
IBEW-3,ELECTRICAL WORKERS IBEW AFL-CIO,,,455
IUOE-68 ,"ENGINEERS, OPERATING, AFL-CIO",3188,68,445
UFCW - 880,FOOD AND COMMERCIAL WKRS,10330,880,442
OPEIU-3,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,6141,3,442
UFCW - 555,FOOD AND COMMERCIAL WKRS,516833,555,441
IUOE-542,"ENGINEERS, OPERATING, AFL-CIO",38130,542,436
IUOE - 150,"ENGINEERS, OPERATING, AFL-CIO",31860,150,435
UFCW-555,FOOD AND COMMERCIAL WKRS,516833,555,435
UFCW - 23,FOOD AND COMMERCIAL WKRS,,0,433
IBT-107,TEAMSTERS,33820,107,431
UFCW-21,FOOD AND COMMERCIAL WKRS,543341,21,430
International Union of Operating Engineers 30,"ENGINEERS, OPERATING, AFL-CIO",19779,30,430
IBT-142,TEAMSTERS,28845,142,429
IBT - 117,TEAMSTERS,5960,117,427
SEIU 1,SERVICE EMPLOYEES,23715,1,427
OPEIU - 153,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,19065,153,426
ILWU - 142,LONGSHORE AND WAREHOUSE UNION,,0,426
IBT-682,TEAMSTERS,36648,682,422
IUOE-49,"ENGINEERS, OPERATING, AFL-CIO",4588,49,421
IBT-627,TEAMSTERS,45528,627,419
International Union of Operating Engineers AFL-CIO 399,"ENGINEERS, OPERATING, AFL-CIO",28035,399,419
SEIU - 1199 NYHHSU,SERVICE EMPLOYEES,31847,,419
SEIU 32BJ,SERVICE EMPLOYEES,542113,32,414
IBT-662,TEAMSTERS,28535,662,413
International Brotherhood of Teamsters 986,TEAMSTERS,15379,986,413
SEIU - 113,SERVICE EMPLOYEES,57419,113,401
IUOE - 39,"ENGINEERS, OPERATING, AFL-CIO",39532,39,398
OPEIU-12,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,1696,12,396
IBT-346,TEAMSTERS,26071,346,391
IBT-337,TEAMSTERS,33283,337,390
IBEW - 3,ELECTRICAL WORKERS IBEW AFL-CIO,,,389
IBT-760,TEAMSTERS,43443,760,388
IBT-665,TEAMSTERS,41157,665,386
IBT - 200,TEAMSTERS,13815,200,377
IBT - 682,TEAMSTERS,36648,682,377
IBT-810,TEAMSTERS,35479,810,374
IUOE-70,"ENGINEERS, OPERATING, AFL-CIO",516492,70,371
IBT-200,TEAMSTERS,13815,200,368
IBT-25,TEAMSTERS,33335,25,367
IBEW-134,ELECTRICAL WORKERS IBEW AFL-CIO,35399,134,365
UFCW-23,FOOD AND COMMERCIAL WKRS,,0,365
UFCW-880,FOOD AND COMMERCIAL WKRS,10330,880,364
IUOE-12,"ENGINEERS, OPERATING, AFL-CIO",7156,12,364
IBT-150,TEAMSTERS,3293,150,363
IBT - 810,TEAMSTERS,35479,810,361
IUOE-139,"ENGINEERS, OPERATING, AFL-CIO",35847,139,360
IBT - 714,TEAMSTERS,6375,714,359
SEIU Healthcare Pennsylvania,SERVICE EMPLOYEES,508557,,358
IAM - 447 DISTRICT 15,MACHINISTS AFL-CIO,15451,447,358
UFCW - 1,FOOD AND COMMERCIAL WKRS,27484,1,357
IBT-486,TEAMSTERS,23984,486,354
SEIU - 32E,SERVICE EMPLOYEES,22572,32,354
OPEIU-153,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,19065,153,353
IBT - 174,TEAMSTERS,7715,174,352
IUOE-825,"ENGINEERS, OPERATING, AFL-CIO",12429,825,352
IBT - 50,TEAMSTERS,11444,50,351
IBT-20,TEAMSTERS,8580,20,351
IUOE-68,"ENGINEERS, OPERATING, AFL-CIO",3188,68,348
IBT-856,TEAMSTERS,35507,856,346
Service Employees International Union 1,SERVICE EMPLOYEES,23715,1,345
IBT - 560,TEAMSTERS,21915,560,344
IBT-251,TEAMSTERS,30541,251,343
IUOE Stationary Engineers 39,"ENGINEERS, OPERATING, AFL-CIO",39532,39,341
IBT - 781,TEAMSTERS,16955,781,339
IBT - 247,TEAMSTERS,28810,247,339
UFCW - 1546,FOOD AND COMMERCIAL WKRS,542277,1546,334
UFCW-1473,FOOD AND COMMERCIAL WKRS,543517,1473,334
International Union of Operating Engineers AFL-CIO 150,"ENGINEERS, OPERATING, AFL-CIO",31860,150,334
IUOE - 70,"ENGINEERS, OPERATING, AFL-CIO",516492,70,333
AFM/AMGNY-802,MUSICIANS AFL-CIO,10790,802,331
IAMAW-9,MACHINISTS AFL-CIO,,0,331
SEIU-200 United,SERVICE EMPLOYEES,542233,200,328
IBT-406,TEAMSTERS,29589,406,324
OPEIU-2,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,35161,2,324
IBT - 627,TEAMSTERS,45528,627,323
IBT - 337,TEAMSTERS,33283,337,322
IUOE - 501,"ENGINEERS, OPERATING, AFL-CIO",12442,501,321
OPEIU - 29,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,16408,29,320
IUOE - 18,"ENGINEERS, OPERATING, AFL-CIO",39040,18,319
Service Employees International Union/United Healthcare Workers East 1199,SERVICE EMPLOYEES,31847,,318
IBT - 688,TEAMSTERS,25471,688,316
IBT-495,TEAMSTERS,22982,495,316
IBT-917,TEAMSTERS,34873,917,315
IUOE - 302,"ENGINEERS, OPERATING, AFL-CIO",40284,302,314
HERE - 100,UNITE HERE,515249,100,314
IBT-89,TEAMSTERS,20926,89,314
International Union of Operating Engineers 150,"ENGINEERS, OPERATING, AFL-CIO",31860,150,314
IBT - 89,TEAMSTERS,20926,89,311
NPW/CPWU-30,NOVELTY AND PRODUCTION WKRS AFL-CIO,543087,30,311
SEIU - 285,SERVICE EMPLOYEES,513185,285,309
IBT-690,TEAMSTERS,1070,690,308
LIUNA - 734,LABORERS,23958,734,307
IBT-560,TEAMSTERS,21915,560,307
IBT-848,TEAMSTERS,1429,848,306
IBT-525,TEAMSTERS,4825,525,306
IUOE - 12,"ENGINEERS, OPERATING, AFL-CIO",7156,12,305
IBT-959,TEAMSTERS,14285,959,305
NYSNA-,NATIONAL NURSES UNITED,38970,,305
OPEIU - 3,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,6141,3,303
SEIU - 1199P,SERVICE EMPLOYEES,508557,0,303
NEHCEU - 1199,SERVICE EMPLOYEES,513846,,302
IBT - 618,TEAMSTERS,28325,618,301
SEIU - 1,SERVICE EMPLOYEES,23715,1,301
IBT-769,TEAMSTERS,61186,769,301
IBT-781,TEAMSTERS,16955,781,301
AFM - 802,MUSICIANS AFL-CIO,10790,802,301
IBT-238,TEAMSTERS,6334,238,300
IBT - 120,TEAMSTERS,1526,120,297
IBT-63,TEAMSTERS,508852,63,297
IBT-11,TEAMSTERS,62025,11,296
IBT-206,TEAMSTERS,42547,206,293
UFCW-5,FOOD AND COMMERCIAL WKRS,,0,293
IBT - 853,TEAMSTERS,20870,853,292
IUOE-825-A-B-C-D,"ENGINEERS, OPERATING, AFL-CIO",12429,825,291
Teamsters Local 853 853,TEAMSTERS,20870,853,290
International Brotherhood of Teamsters 282,TEAMSTERS,9185,282,289
SEIU/UHWE -1199,SERVICE EMPLOYEES,31847,,289
NYSNA -,NATIONAL NURSES UNITED,38970,,288
IBT - 406,TEAMSTERS,29589,406,286
IBT-294,TEAMSTERS,42415,294,285
International Brotherhood of Teamsters 456,TEAMSTERS,21006,456,284
IBT - 63,TEAMSTERS,508852,63,283
IBT - 429,TEAMSTERS,33012,429,283
IBT-137,TEAMSTERS,30469,137,283
UFCW - 73A,FOOD AND COMMERCIAL WKRS,28333,73,283
IBT-695,TEAMSTERS,7112,695,282
IUOE-3,"ENGINEERS, OPERATING, AFL-CIO",35651,3,281
IBT-673,TEAMSTERS,21933,673,281
UFCW-75,FOOD AND COMMERCIAL WKRS,544266,75,281
Office & Professional Employees International Union 29,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,16408,29,281
Mid-America Carpenters Regional Council,CARPENTERS IND,1949,,281
SEIU - 50,SERVICE EMPLOYEES,20059,50,280
UFCW-27,FOOD AND COMMERCIAL WKRS,,0,278
IBT - 856,TEAMSTERS,35507,856,277
IBT-2,TEAMSTERS,1364,2,277
IUOE-95,"ENGINEERS, OPERATING, AFL-CIO",37173,95,276
IBT-688,TEAMSTERS,25471,688,275
IBT-618,TEAMSTERS,28325,618,275
IBT - 142,TEAMSTERS,28845,142,274
IUOE-18,"ENGINEERS, OPERATING, AFL-CIO",39040,18,274
International Brotherhood of Teamsters 120,TEAMSTERS,1526,120,274
Service Employees International Union Healthcare,SERVICE EMPLOYEES,,0,274
UFCW - 27,FOOD AND COMMERCIAL WKRS,,0,274
IBT - 486,TEAMSTERS,23984,486,273
IBT-807,TEAMSTERS,6300,807,273
UFCW-1,FOOD AND COMMERCIAL WKRS,27484,1,273
IBT-202,TEAMSTERS,26719,202,270
IBT - 813,TEAMSTERS,36119,813,269
IBT - 639,TEAMSTERS,11839,639,268
IBT - 210,TEAMSTERS,46272,210,267
IBT - 78,TEAMSTERS,22708,78,267
IBT-429,TEAMSTERS,33012,429,267
SEIU - 47,SERVICE EMPLOYEES,30301,47,266
IBT-364,TEAMSTERS,39529,364,266
UFCW - 1116,FOOD AND COMMERCIAL WKRS,25481,1116,265
IBEW - 1430,ELECTRICAL WORKERS IBEW AFL-CIO,52067,1430,264
IBT - 11,TEAMSTERS,62025,11,262
IUOE - 99,"ENGINEERS, OPERATING, AFL-CIO",14608,99,262
IBEW-1,ELECTRICAL WORKERS IBEW AFL-CIO,,,262
IUOE - 49,"ENGINEERS, OPERATING, AFL-CIO",4588,49,261
IBT - 147,TEAMSTERS,2659,147,261
UFCW - 1001,FOOD AND COMMERCIAL WKRS,66644,1001,261
IBT - 364,TEAMSTERS,39529,364,260
IBT-282,TEAMSTERS,9185,282,260
NHHSEU - 1199,SERVICE EMPLOYEES,31847,,260
USW-,"STEELWORKERS, AFL-CIO",,0,260
OPEIU-8,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,26712,8,259
IBT - 25,TEAMSTERS,15486,25,258
USA -,"STEELWORKERS, AFL-CIO",,,258
IUOE-30,"ENGINEERS, OPERATING, AFL-CIO",19779,30,256
"International Union of Operating Engineers, AFL-CIO 150","ENGINEERS, OPERATING, AFL-CIO",31860,150,256
OPEIU - 2,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,35161,2,255
CJA - 721,CARPENTERS IND,22059,721,255
IBT-639,TEAMSTERS,11839,639,255
IBT - OTEG unit-743,TEAMSTERS,34094,743,254
IBT-317,TEAMSTERS,48830,317,253
IBT - 495,TEAMSTERS,22982,495,252
IBEW - 1,ELECTRICAL WORKERS IBEW AFL-CIO,,,252
IBT - 662,TEAMSTERS,28535,662,251
IBT-252,TEAMSTERS,1682,252,251
UFCW 2013,FOOD AND COMMERCIAL WKRS,60069,2013,250
Service Employees International Union 2015,SERVICE EMPLOYEES,545348,2015,250
SEIU Healthcare,SERVICE EMPLOYEES,,0,250
IBT-445,TEAMSTERS,27514,445,249
IBT-377,TEAMSTERS,39225,377,248
IBT - 238,TEAMSTERS,6334,238,247
IBT - 676,TEAMSTERS,22462,676,246
SEIU-1877,SERVICE EMPLOYEES,521501,1877,245
International Union of Operating Engineers AFL-CIO 3,"ENGINEERS, OPERATING, AFL-CIO",35651,3,245
North Central States Regional Council of Carpenters,CARPENTERS IND,35751,,244
IUOE - 547,"ENGINEERS, OPERATING, AFL-CIO",11777,547,242
IBT - 807,TEAMSTERS,6300,807,242
IBT-249,TEAMSTERS,28815,249,242
UFCW - 174,FOOD AND COMMERCIAL WKRS,24850,174,242
UFCW 555,FOOD AND COMMERCIAL WKRS,516833,555,242
UAW -,AUTO WORKERS AFL-CIO,,0,242
IBT - 665,TEAMSTERS,41157,665,238
UFCW - 1776,FOOD AND COMMERCIAL WKRS,45254,1776,236
IBT - 377,TEAMSTERS,39225,377,235
IUOE-150 ,"ENGINEERS, OPERATING, AFL-CIO",31860,150,235
IBT-630,TEAMSTERS,34093,630,235
IBEW - 134,ELECTRICAL WORKERS IBEW AFL-CIO,35399,134,235
IBT - 901,TEAMSTERS,48892,901,234
IBT - 525,TEAMSTERS,4825,525,234
UFCW 1189,FOOD AND COMMERCIAL WKRS,544428,1189,234
IBT - 206,TEAMSTERS,42547,206,233
IBT-210,TEAMSTERS,46272,210,233
IBT-332,TEAMSTERS,33299,332,233
International Union of Operating Engineers 501,"ENGINEERS, OPERATING, AFL-CIO",12442,501,233
SEIU Healthcare Michigan-,SERVICE EMPLOYEES,543857,,232
UFCW - 789,FOOD AND COMMERCIAL WKRS,14521,789,231
UNITE - NY/NJ REGIONAL JT BD,UNITE AFL-CIO,32269,0,231
USW-10,"STEELWORKERS, AFL-CIO",,10,231
IBT - 346,TEAMSTERS,26071,346,229
IBT - 695,TEAMSTERS,7112,695,229
"IUOE-302,612","ENGINEERS, OPERATING, AFL-CIO",40284,302,229
SEIU - 150,SERVICE EMPLOYEES,44565,150,228
UFCW-152,FOOD AND COMMERCIAL WKRS,543600,152,228
BAC-1,BRICKLAYERS AFL-CIO,,0,228
IBT-313,TEAMSTERS,43832,313,227
IBT-179,TEAMSTERS,17603,179,225
IBT-600,TEAMSTERS,26065,600,225
IUOE-234,"ENGINEERS, OPERATING, AFL-CIO",38399,234,224
IBT - 317,TEAMSTERS,48830,317,223
IBT-813,TEAMSTERS,36119,813,223
SEIU-3,SERVICE EMPLOYEES,542766,3,223
IUOE-286,"ENGINEERS, OPERATING, AFL-CIO",63962,286,222
UFCW-1776,FOOD AND COMMERCIAL WKRS,45254,1776,221
OPEIU-9,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,11712,9,221
SEIU-509,SERVICE EMPLOYEES,511865,509,221
SEIU Healthcare Pennsylvania-,SERVICE EMPLOYEES,508557,,221
IBT-436,TEAMSTERS,18978,436,220
IBT-572,TEAMSTERS,24471,572,220
UAW-259,AUTO WORKERS AFL-CIO,38742,259,219
IBT-952,TEAMSTERS,34503,952,219
UFCW-400,FOOD AND COMMERCIAL WKRS,5511,400,219
IBT-439,TEAMSTERS,14236,439,218
IBT - 100,TEAMSTERS,32509,100,216
IBT-614,TEAMSTERS,19050,614,216
IBT - 305,TEAMSTERS,5158,305,215
UFCW-888,FOOD AND COMMERCIAL WKRS,22887,888,215
SEIU - 6,SERVICE EMPLOYEES,544601,6,214
"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial & Service Workers International Union","STEELWORKERS, AFL-CIO",,,214
IBT - 421,TEAMSTERS,29857,421,213
IBT - 917,TEAMSTERS,34873,917,213
UFCW - 342,FOOD AND COMMERCIAL WKRS,,42,213
OPEIU - 11,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,4824,11,212
UFCW - 400,FOOD AND COMMERCIAL WKRS,5511,400,212
UFCW-789,FOOD AND COMMERCIAL WKRS,14521,789,212
IAM - 447,MACHINISTS AFL-CIO,15451,447,212
International Brotherhood of Teamsters,TEAMSTERS,,0,212
IBT - 294,TEAMSTERS,42415,294,211
IBT-641,TEAMSTERS,21998,641,211
UFCW-1189,FOOD AND COMMERCIAL WKRS,544428,1189,211
OPEIU 537,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,530711,537,211
International Brotherhood of Teamsters 294,TEAMSTERS,42415,294,211
International Union Of Operating Engineers 39,"ENGINEERS, OPERATING, AFL-CIO",39532,39,211
IBT-162,TEAMSTERS,2370,162,210
International Association of Machinists & Aerospace Workers,MACHINISTS AFL-CIO,,0,210
IBT-431,TEAMSTERS,28816,431,209
IUOE 399,"ENGINEERS, OPERATING, AFL-CIO",28035,399,209
IBT - 150,TEAMSTERS,3293,150,208
OPEIU - 12,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,1696,12,208
SEIU-503,SERVICE EMPLOYEES,519355,503,208
IBT-92,TEAMSTERS,16786,92,208
UBC,CARPENTERS IND,,,208
IBT - 251,TEAMSTERS,30541,251,207
IUOE-701,"ENGINEERS, OPERATING, AFL-CIO",23992,701,207
UFCW-1116,FOOD AND COMMERCIAL WKRS,25481,1116,207
IBT - 7,TEAMSTERS,5036,7,207
IBT - 175,TEAMSTERS,1608,175,206
RWDSU/UFCW-1102,FOOD AND COMMERCIAL WKRS,12614,1102,206
IBT-901,TEAMSTERS,48892,901,205
SEIU-UHW-2005,SERVICE EMPLOYEES,543099,2005,205
IBT-166,TEAMSTERS,36206,166,204
SEIU 200United,SERVICE EMPLOYEES,542233,200,203
Minnesota Nurses Association,"NURSES ASN, AMERICAN, IND",53683,,203
UFCW - 655,FOOD AND COMMERCIAL WKRS,15641,655,202
HERE - 24,UNITE HERE,540559,24,202
IBT - 554,TEAMSTERS,37997,554,201
SEIU - 82,SERVICE EMPLOYEES,36483,82,200
IUOE - 234,"ENGINEERS, OPERATING, AFL-CIO",38399,234,200
IBT - 436,TEAMSTERS,18978,436,200
IBT - 470,TEAMSTERS,41187,470,199
IUOE Local 324,"ENGINEERS, OPERATING, AFL-CIO",19088,324,199
International Brotherhood of Teamsters 731,TEAMSTERS,11948,731,198
AFSCME - 1199-C,STATE COUNTY AND MUNI EMPLS AFL-CIO,504772,,198
IBT-731,TEAMSTERS,11948,731,197
International Union of Operating Engineers AFL-CIO 68,"ENGINEERS, OPERATING, AFL-CIO",3188,68,196
IBT-804,TEAMSTERS,31841,804,195
IBT-41,TEAMSTERS,26749,41,195
American Federation of Labor & Congress of Industrial Organizations,AFL-CIO,,,195
IBT - 221,TEAMSTERS,30502,221,194
IBT-705,TEAMSTERS,43508,705,194
SEIU Local 2015 2015,SERVICE EMPLOYEES,545348,2015,194
Service Employees International Union Healthcare Pennsylvania,SERVICE EMPLOYEES,508557,,194
IBT - 104,TEAMSTERS,4987,104,193
UFCW-655,FOOD AND COMMERCIAL WKRS,15641,655,193
IUOE Local 68,"ENGINEERS, OPERATING, AFL-CIO",3188,68,193
IUOE-302,"ENGINEERS, OPERATING, AFL-CIO",40284,302,192
SEIU-UHW West,SERVICE EMPLOYEES,543099,0,192
IBT - 760,TEAMSTERS,43443,760,191
HERE - 74,UNITE HERE,508538,74,191
RWAW-8,ROOFERS AFL-CIO,19532,8,191
IBT - 299,TEAMSTERS,34784,299,190
IBT - 162,TEAMSTERS,2370,162,190
GCIU - 583,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,516752,583,190
GCC-2289M,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,506413,289,190
United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO,PLUMBERS AFL-CIO,,0,190
IUOE-101,"ENGINEERS, OPERATING, AFL-CIO",22411,101,189
IBT-331,TEAMSTERS,11756,331,189
IBT-554,TEAMSTERS,37997,554,189
IBT-727,TEAMSTERS,34268,727,189
International Association of Machinists & Aerospace Workers Local 701,MACHINISTS AFL-CIO,,,189
CJA -,CARPENTERS IND,,,189
International Association of Machinists & Aerospace Workers 701,MACHINISTS AFL-CIO,,0,189
IBT-541,TEAMSTERS,16715,541,188
SEIU - 1877,SERVICE EMPLOYEES,521501,1877,187
Teamsters 264,TEAMSTERS,38823,264,187
IBT-175,TEAMSTERS,1608,175,186
International Union of Operating Engineers 49,"ENGINEERS, OPERATING, AFL-CIO",4588,49,186
IBT - 249,TEAMSTERS,28815,249,185
SEIU-113,SERVICE EMPLOYEES,57419,113,185
IBT - 170,TEAMSTERS,19903,170,184
UFCW-1625,FOOD AND COMMERCIAL WKRS,33089,1625,184
HERE - 8,UNITE HERE,509161,8,183
IBT - 952,TEAMSTERS,34503,952,182
IBT - 630,TEAMSTERS,34093,630,182
HERE - 25,UNITE HERE,506434,25,182
IBT-763,TEAMSTERS,44761,763,182
IBT-26,TEAMSTERS,21922,26,182
OPEIU - 9,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,11712,9,181
IBT-773,TEAMSTERS,23562,773,181
UFCW-8-GS,FOOD AND COMMERCIAL WKRS,43536,8,181
UFCW - 2,FOOD AND COMMERCIAL WKRS,,0,181
SEIU - 399,SERVICE EMPLOYEES,35687,399,180
IBT-676,TEAMSTERS,22462,676,180
UNITEHERE,UNITE HERE,,,180
Unite Here-100,UNITE HERE,515249,100,180
IBT-170 Council 10,TEAMSTERS,19903,170,180
IBT-104,TEAMSTERS,4987,104,179
Oregon Nurses Association,TEACHERS AFL-CIO,45168,,179
IBT-264,TEAMSTERS,38823,264,178
UFCW-2,FOOD AND COMMERCIAL WKRS,,0,178
IBT - 202,TEAMSTERS,26719,202,177
IUOE - 542,"ENGINEERS, OPERATING, AFL-CIO",38130,542,177
IBT-929,TEAMSTERS,16753,929,177
MANA-,MASSACHUSETTS NURSES ASSOCIATION,57925,0,177
UFCW - 56,FOOD AND COMMERCIAL WKRS,31801,56,176
IBT-355,TEAMSTERS,28763,355,176
IBT Local 120,TEAMSTERS,1526,120,176
UFCW - 1444,FOOD AND COMMERCIAL WKRS,57079,1444,175
IBT - 92,TEAMSTERS,16786,92,175
IAMAW-289,MACHINISTS AFL-CIO,19877,289,175
UFCW - 888,FOOD AND COMMERCIAL WKRS,22887,888,175
Service Employees International Union Healthcare HCII,SERVICE EMPLOYEES,543894,,175
SEIU/UHWE Local 1199,SERVICE EMPLOYEES,31847,,175
IBT - 996,TEAMSTERS,28511,996,174
UAW - 259,AUTO WORKERS AFL-CIO,38742,259,174
IBT-830,TEAMSTERS,9324,830,174
IUOE - 66,"ENGINEERS, OPERATING, AFL-CIO",34965,66,173
UAW - 155,AUTO WORKERS AFL-CIO,16100,155,173
IBT - 97,TEAMSTERS,35045,97,172
IBT - 270,TEAMSTERS,37852,270,172
IBT-677,TEAMSTERS,24410,677,172
IUOE-148,"ENGINEERS, OPERATING, AFL-CIO",6935,148,172
UAW-174,AUTO WORKERS AFL-CIO,,74,172
LIUNA -,LABORERS,,0,172
IBT - 705,TEAMSTERS,43508,705,171
IBT - 690,TEAMSTERS,1070,690,171
IUOE-66,"ENGINEERS, OPERATING, AFL-CIO",34965,66,171
IUOE - 406,"ENGINEERS, OPERATING, AFL-CIO",22326,406,170
IUOE - 701,"ENGINEERS, OPERATING, AFL-CIO",23992,701,170
IBT - 819,TEAMSTERS,25053,819,170
IBT - 58,TEAMSTERS,61314,58,170
ANA - MNNA,"NURSES ASN, AMERICAN, IND",53683,,170
MNA-,MASSACHUSETTS NURSES ASSOCIATION,57925,0,170
IBT - 431,TEAMSTERS,28816,431,169
IUOE - 139,"ENGINEERS, OPERATING, AFL-CIO",35847,139,169
International Union of Operating Engineers 139,"ENGINEERS, OPERATING, AFL-CIO",35847,139,169
UFCW - 464A,FOOD AND COMMERCIAL WKRS,2373,464,168
IBT - 773,TEAMSTERS,23562,773,168
IBT-215,TEAMSTERS,28326,215,168
UBC-721,CARPENTERS IND,22059,721,168
IBT-315,TEAMSTERS,9807,315,168
IAMAW-,MACHINISTS AFL-CIO,,0,168
UFCW-1099,FOOD AND COMMERCIAL WKRS,30071,1099,167
SEIU - 32BJ,SERVICE EMPLOYEES,516823,32,167
SEIU - 355,SERVICE EMPLOYEES,52025,355,167
RWDSU / UFCW-338,FOOD AND COMMERCIAL WKRS,11901,338,167
SEIU Florida Healthcare United Worker East-1199,SERVICE EMPLOYEES,543235,,167
SEIU-79,SERVICE EMPLOYEES,,0,167
IBT - 70,TEAMSTERS,10997,70,166
International Brotherhood of Teamsters 337,TEAMSTERS,33283,337,166
IBEW-0702,ELECTRICAL WORKERS IBEW AFL-CIO,22643,702,166
IBT - 716,TEAMSTERS,37849,716,165
IBT - 115,TEAMSTERS,12292,115,165
IBT - 332,TEAMSTERS,33299,332,165
IBT-118,TEAMSTERS,1802,118,165
International Brotherhood of Teamsters 853,TEAMSTERS,20870,853,165
United Food & Commercial Workers 1546,FOOD AND COMMERCIAL WKRS,542277,1546,165
UNITE -,UNITE AFL-CIO,,,165
SEIU - 36,SERVICE EMPLOYEES,505065,36,164
UFCW - 588,FOOD AND COMMERCIAL WKRS,43536,588,164
IUOE-406,"ENGINEERS, OPERATING, AFL-CIO",22326,406,164
UFCW-2013,FOOD AND COMMERCIAL WKRS,60069,2013,164
IBT - 41,TEAMSTERS,43411,41,164
CWA -,COMMUNICATIONS WORKERS AFL-CIO,,,164
GCIU - 388M,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,44245,388,164
IUOE - 286,"ENGINEERS, OPERATING, AFL-CIO",63962,286,163
IBT - 614,TEAMSTERS,19050,614,163
IBT-58,TEAMSTERS,1854,58,163
IBT - 439,TEAMSTERS,14236,439,162
UFCW - 367,FOOD AND COMMERCIAL WKRS,27121,367,162
International Brotherhood of Teamsters 710,TEAMSTERS,28039,710,162
Teamsters 332,TEAMSTERS,33299,332,162
INTERNATIONAL UNION OF OPERATING ENGINEERS 68,"ENGINEERS, OPERATING, AFL-CIO",3188,68,162
UNITE HERE-1,UNITE HERE,514644,1,162
IBT - 137,TEAMSTERS,30469,137,161
