acronym,full_name,count,confidence,example
FUCO,FEDERATED UNION OF CORRECTIONAL,1,medium,FUCO - 1
GHEMTA,GREATER HARTFORD EMERGENCY MEDICAL,1,medium,GHEMTA - 
GSOA,GOVERNMENT SECURITY OFFICERS 131,5,web_research,GSOA - 229
HCDCU,HAWAII COUNCIL OF DEFENSE,1,medium,HCDCU -
HEU,HOSPITAL EMPLOYEES UNION,2,web_research,HEU - 
HPPBA,HUNTS POINT POLICE BENEVOLENT ASSOC,1,high,HPPBA - 
IAA,INDEPENDENT ARTISTS OF AMERICA,1,high,IAA - 
IBPO,INTERNATIONAL BROTHERHOOD OF POLICE OFFICERS,1,high,IBPO
IDW,INDEPENDENT DOCK WORKERS UNION LOCAL 1,1,web_research,IDW - 1
IESA,INDEPENDENT EMPLOYEES SERVICE ASN,1,high,IESA - 
IEU,INDEPENDENT EMPLOYEES UNION,2,high,IEU -
IOCW,INDEPENDENT OIL AND CHEMICAL WORKERS,4,high,IOCW - 
IOCW-N/A,INDEPENDENT OIL AND CHEMICAL WORKERS,1,high,IOCW-N/A
ISU,INDEPENDENT SUPERVISOR'S UNION,1,high,ISU - 
ISWU,INDEPENDENT SPECTRUM WORKERS UNION,1,high,ISWU - 
IUIIW,INTERNATIONAL UNION OF INDUSTRIAL,1,medium,IUIIW - 
IULOE,INDEPENDENT UNION LOCAL 3027,1,medium,IULOE - 
IUPMW,INDEPENDENT UNION OF PENSION,1,medium,IUPMW - 
IWA,INDEPENDENT WORKERS ASSOCIATION,1,high,IWA - 3166
JNESO,NEW JERSEY STATE NURSES ASSOCIATION,,web_research,
KEASO,KINGSYN EMPLOYEES ASSOCIATION,1,medium,KEASO - 
KNEA,KANSAS NURSES EDUCATION ASSOCIATION,,manual,
LABBAU,LEGAL AID BUREAU OF BUFFALO,1,web_research,LABBAU - 
LEOSU,NATIONAL UNION OF LAW ENFORCEMENT,,web_research,
LEOSU-CA,NATIONAL UNION OF LAW ENFORCEMENT,,web_research,
LEOSU-DC,NATIONAL UNION OF LAW ENFORCEMENT,,web_research,
LEOSUCA,NATIONAL UNION OF LAW ENFORCEMENT,,web_research,
MESNA,MINNESOTA NURSES ASSOCIATION,,manual,
MIAP,MADELAINE INDEPENDENT ASN,2,medium,MIAP - 
MLBPA,MAJOR LEAGUE BASEBALL PLAYERS,1,medium,MLBPA
MNA,MICHIGAN NURSES ASSOCIATION,11,high,MNA - 15
MNA-12,MICHIGAN NURSES ASSOCIATION,1,high,MNA-12
MNA-2,MICHIGAN NURSES ASSOCIATION,1,high,MNA-2
MNA-N/A,MICHIGAN NURSES ASSOCIATION,1,high,MNA-N/A
MNAPEU,MICHIGAN NURSES ASSOCIATION,1,medium,MNAPEU - 
MNASO,MINNESOTA NURSES ASSOCIATION STAFF,3,web_research,MNASO - 1 & 2
MPEA,MAGLINE PINCONNING EMPLS ASN,2,high,MPEA - 
MPTA,MINK PIPE TRADES ASSOCIATION,1,high,MPTA - 
MTNA,MONTANA NURSES ASSOCIATION,,manual,
NAPE,NATIONAL ASSOCIATION OF POSTAL,2,medium,NAPE - 1256
NASPSO,NATIONAL ASSOCIATION OF SPECIAL POLICE AND SECURITY OFFICERS,1,web_research,NASPSO - 
NFSP,NEWPORT FIREFIGHTING SCHOOL,1,medium,NFSP - 100
NHL,PROFESSIONAL HOCKEY PLAYERS ASSN,,manual,
NHLPA,PROFESSIONAL HOCKEY PLAYERS ASSN,,manual,
NLRBU,NATIONAL LABOR RELATIONS BOARD UNION,1,web_research,NLRBU
NSBDA,NORWIN SCHOOL BUS DRIVERS ASN,1,high,NSBDA - 
NTSEC,NORTHWESTERN TELEPHONE SYSTEMS,1,medium,NTSEC - 
OAPSE,OHIO ASSN OF PUBLIC SCHOOL EMPLOYEE,1,high,OAPSE - RIDGEVILLE SCHOOL
PACSO,PROFESSIONAL ASSOCIATION OF COURT SECURITY OFFICERS,1,web_research,PACSO - 
PAGA,PROFESSIONAL ASSOCATION OF GOLF,1,medium,PAGA - 
PANA,NURSE ANESTHETISTS ASSOCIATION OF,,web_research,
PASS,PETROLEUM ASSOCIATES SOUTH SHORE,1,high,PASS - PROFAIRWAYSYSTEM SPEC/AVN
PATCO,PROFESSIONAL AIR TRAFFIC CONTROLLER,2,medium,PATCO - 
PIEU,PENN IRON EMPLOYEES UNION,1,high,PIEU - 
PLPA,PROFESSIONAL LACROSSE PLAYERS,1,web_research,PLPA
PSEA-N/A,PROFESSIONAL SECURITY EMPLOYEES ASN,1,high,PSEA-N/A
PSEA-NEA,PROFESSIONAL SECURITY EMPLOYEES ASN,1,high,PSEA-NEA (WHESP)-1046
PSEA/NEA,PROFESSIONAL SECURITY EMPLOYEES ASN,1,high,PSEA/NEA Agora Counselors Association-N/A
PSEA/WSESP,PROFESSIONAL SECURITY EMPLOYEES ASN,1,high,PSEA/WSESP Cafe 
PSEU,PRODUCTION AND SERVICE EMPLOYEES,1,medium,PSEU - 1132
RSBEA,ROCHESTER SCHOOL BUS EMPLOYEES,1,medium,RSBEA - 
RTBG,RADIO AND TELEVISION BROADCAST GROUP,1,high,RTBG - 
SAEA,SOUTHWEST AIRLINES EMPLOYEE ASSOC,1,high,SAEA - 
SANTA,SOUTHERN ASSOCIATION OF NURSE,1,medium,SANTA BARBARA POLICE OFFICERS ASSOCIATION
SATCO,SPORT AIR TRAFFIC CONTROLLERS ORG,2,high,SATCO - 
SCEA,STARR COMMONWEALTH EMPLOYEES ASSN,1,high,SCEA - 
SFAAW,SPIRIT FLIGHT ATTENDANTS ASSOCIATION,1,medium,SFAAW - S200
SNEA,SPRINGFIELD NEWSPAPERS EMPLOYEES,1,medium,SNEA - INDEP.
SOEA,SUN OIL EMPLOYEES ASSOCIATION,1,high,SOEA - 
SPAN,SECURITY  POLICE  ASSOC OF  NEVADA,1,high,SPAN - 
SPCA,STAFF PROFESSIONAL & CLERICAL ASSOCIATION,1,high,SPCA - 
SPSC,SCHULENBERG PLANT SHOP COMMITTEE,1,high,SPSC - 
SSOBA,SPECIAL AND SUPERIOR OFFICERS,3,web_research,SSOBA -
TEAI,TERMINAL EMPLOYEES ASN INC,1,medium,TEAI - 
TGWA,TEXTILE GARMENT WORKERS ASSN,1,high,TGWA - 
UCSUIL,UNITED COUNCIL STAFF UNION OF ILLINOIS,1,medium,UCSUIL - 
UFSO,UNITED FEDERATION OF SECURITY,1,medium,UFSO - 216
UISTPGW,UNITED INDUSTRIAL AND SERVICE,2,medium,UISTPGW -
UIU,UNITED INDEPENDENT UNION,3,high,UIU - 2
UPTO,UNITED POWER TRADES ORGANIZATION,1,high,UPTO - 
UPWU,UNITED PACKINGHOUSE WORKERS,1,web_research,UPWU - 
URSOA,UNION RIGHTS FOR SECURITY OFFICERS,1,web_research,URSOA - 
USCSO,INTERNATIONAL UNION UAW STAFF COUNCIL,1,web_research,USCSO - SOUTHERN DISTRICT OF NY
USU,UNITED STAFF UNION,1,high,USU - 116
UUR,UNION OF UNION REPRESENTATIVES,1,high,UUR - 
UUSG,UNITED UNION OF SECURITY GUARDS,1,high,UUSG - 
WDA,WALTHAM DRIVERS ASSOCIATION,1,high,WDA - 
WPPLU,WOLVERINE PRODUCTS PIPE LINE UNION,1,high,WPPLU - 
YEEA,YORK ENGINEERING EMPLS ASN,1,high,YEEA - 
